"Identificação do post","Identificação da conta","Nome de usuário da conta","Nome da conta",Descrição,"Duração (s)","Horário de publicação","Link permanente","Tipo de post","Comentário de dados",Data,Visualizações,Curtidas,Compartilhamentos,Comentários,Salvamentos,Alcance,Seguimentos
18082105123846948,17841405730557330,monicametran,"Mônica Metran","Assinada por Léo Romano, nossa nova sede reflete seu olhar sensível e o diálogo entre arte, design brasileiro e contemporaneidade.

Confira um pouco do nosso bate-papo com o autor do projeto. @leoromanoarquitetura",117,"11/10/2025 15:21",https://www.instagram.com/reel/DQ5OcsFDdpy/,"Reel do Instagram",,Total,11597,318,13,44,6,6759,5
18368682421158534,17841405730557330,monicametran,"Mônica Metran","O retorno ao ouro em sua forma pura. Sem pedras, sem distrações — apenas o metal nobre e sua presença atemporal. 

Brinco Origem — Coleção Origem.",0,"11/09/2025 06:00",https://www.instagram.com/p/DQ1pnypjxlc/,"Carrossel do Instagram",,Total,14445,52,5,4,14,1522,0
18087563929766325,17841405730557330,monicametran,"Mônica Metran","Do ouro, tudo nasce. Coleção ORIGEM: o essencial em sua forma mais pura.",0,"11/08/2025 14:00",https://www.instagram.com/p/DQz7ztQjwg2/,"Carrossel do Instagram",,Total,15524,58,6,2,14,2219,0
18407726584190247,17841405730557330,monicametran,"Mônica Metran","ORIGEM, é a representação de permanência, pureza e valor eterno. Bracelete Origem — Coleção Origem",0,"11/08/2025 06:00",https://www.instagram.com/p/DQzE1Wwj_hL/,"Carrossel do Instagram",,Total,12971,23,4,3,3,1093,0
17862219999519752,17841405730557330,monicametran,"Mônica Metran","O ouro como princípio. 
A forma como eternidade. 
Brinco Origem — Coleção Origem.",0,"11/07/2025 13:30",https://www.instagram.com/p/DQxTkizjeVj/,"Carrossel do Instagram",,Total,13894,33,11,2,11,1634,1
18053265278330576,17841405730557330,monicametran,"Mônica Metran","Um lembrete silencioso de que o verdadeiro valor vem de dentro, e o que é autêntico permanece. Colar Ciclos — Coleção Origem.",0,"11/07/2025 06:45",https://www.instagram.com/p/DQwlL8Zj704/,"Carrossel do Instagram",,Total,13514,22,1,4,4,1584,0
18089341439506779,17841405730557330,monicametran,"Mônica Metran","As formas circulares, entrelaçadas e orgânicas evocam o movimento contínuo da vida: o que começa, retorna, o que retorna, se transforma. Colar Elos Fosco — Coleção Origem.",0,"11/06/2025 14:30",https://www.instagram.com/p/DQu1ldRD7aV/,"Carrossel do Instagram",,Total,13567,27,0,2,4,1578,0
18095677555649444,17841405730557330,monicametran,"Mônica Metran","Onde tudo começa. É a matéria pura, o símbolo da permanência, a base de toda beleza duradoura. Anel Voltas — Coleção Origem.",0,"11/06/2025 06:45",https://www.instagram.com/p/DQuAZm8iV75/,"Carrossel do Instagram",,Total,13948,38,3,4,13,2049,0
18057987515243115,17841400701760332,isadorametran,Isadora,"Produção por @anyribeiromake 🫶🏻
E claro, com a coleção Origem @monicametran",12,"11/05/2025 15:06",https://www.instagram.com/reel/DQsUtGMjnmI/,"Reel do Instagram",,Total,4355,91,5,7,0,,
18069835052462927,17841405730557330,monicametran,"Mônica Metran","Formas que fluem em eterno retorno — onde tudo recomeça, e o essencial resiste.
Brinco Ciclos — Coleção Origem.",0,"11/05/2025 14:30",https://www.instagram.com/p/DQsQ0hiCZMS/,"Carrossel do Instagram",,Total,14778,72,3,12,22,2093,0
17992398866850787,17841405730557330,monicametran,"Mônica Metran","Joias que não competem com o tempo, mas o atravessam. Bracelete Origem — Coleção Origem.",0,"11/05/2025 06:45",https://www.instagram.com/p/DQrbis8j6Bn/,"Carrossel do Instagram",,Total,14870,55,8,6,15,2398,1
18110727637586838,17841405730557330,monicametran,"Mônica Metran","Celebrando o ouro em sua forma mais pura, ORIGEM, traz o desenhos contínuos, sem excessos — como o tempo. 
Joias feitas para durar na pele e na memória.",0,"11/04/2025 15:00",https://www.instagram.com/p/DQpvfRoDw48/,"Carrossel do Instagram",,Total,15031,53,16,4,14,2132,1
18094502362664997,17841405730557330,monicametran,"Mônica Metran","As curvas contínuas lembram que tudo retorna, e que o essencial é o que permanece. Anel Ciclos — Coleção Origem.",0,"11/04/2025 11:04",https://www.instagram.com/p/DQpUaeOj9wR/,"Carrossel do Instagram",,Total,14784,71,5,2,9,2210,0
18304847245255705,17841405730557330,monicametran,"Mônica Metran","ORIGEM 
Um tributo ao essencial,
àquilo que continua,
àquilo que é.",0,"11/03/2025 14:30",https://www.instagram.com/p/DQnHRYiD1hP/,"Carrossel do Instagram",,Total,14789,59,7,9,6,2093,0
